"Age_group","Date","Residual","yday"
"15-44",2011-12-12,0.0101167024284545,346
"15-44",2011-12-19,0.186321355666695,353
"15-44",2011-12-26,-0.269534057666332,360
"15-44",2012-01-02,-0.655995954875703,2
"15-44",2012-01-09,-0.235910252357251,9
"15-44",2012-01-16,-0.0176958804049679,16
"15-44",2012-01-23,-0.0305064193247462,23
"15-44",2012-01-30,-0.16171652674943,30
"15-44",2012-02-06,0.0406216803220808,37
"15-44",2012-02-13,-0.093264126486851,44
"15-44",2012-02-20,0.0956134996735008,51
"15-44",2012-02-27,-0.0926704358341338,58
"15-44",2012-03-05,0.133827898685541,65
"15-44",2012-03-12,-0.15532441664771,72
"15-44",2012-03-19,0.0186518453043183,79
"15-44",2012-03-26,0.0481274502472167,86
"15-44",2012-04-02,0.143641220798469,93
"15-44",2012-04-09,-0.057047093580434,100
"15-44",2012-04-16,-0.201226990789498,107
"15-44",2012-04-23,-0.075258589469585,114
"15-44",2012-04-30,0.0448908658806991,121
"15-44",2012-05-07,-0.248103724567503,128
"15-44",2012-05-14,0.00238184315490544,135
"15-44",2012-05-21,-0.0624325497709288,142
"15-44",2012-05-28,0.127884143371301,149
"15-44",2012-06-04,-0.414187559449183,156
"15-44",2012-06-11,-0.11874019827474,163
"15-44",2012-06-18,0.0499414717714918,170
"15-44",2012-06-25,-0.0773133480786029,177
"15-44",2012-07-02,0.0496406262766248,184
"15-44",2012-07-09,-0.0217191668297678,191
"15-44",2012-07-16,-0.0155830324644149,198
"15-44",2012-07-23,0.0473926490249258,205
"15-44",2012-07-30,-0.0345504168277564,212
"15-44",2012-08-06,-0.145960428130828,219
"15-44",2012-08-13,-0.0807750184007593,226
"15-44",2012-08-20,-0.11343909953043,233
"15-44",2012-08-27,-0.0651950717776347,240
"15-44",2012-09-03,-0.201412532558799,247
"15-44",2012-09-10,0.026819698515246,254
"15-44",2012-09-17,0.168407892339285,261
"15-44",2012-09-24,-0.190366457204596,268
"15-44",2012-10-01,-0.162178141278404,275
"15-44",2012-10-08,-0.0392140974967342,282
"15-44",2012-10-15,-0.163288508177027,289
"15-44",2012-10-22,-0.0538364726553793,296
"15-44",2012-10-29,-0.0841354216784961,303
"15-44",2012-11-05,-0.0398130734275243,310
"15-44",2012-11-12,-0.0769562973651978,317
"15-44",2012-11-19,0.0166160499583376,324
"15-44",2012-11-26,-0.14550832076655,331
"15-44",2012-12-03,-0.042147331082964,338
"15-44",2012-12-10,0.171486236775631,345
"15-44",2012-12-17,0.196621083697099,352
"15-44",2012-12-24,-0.216382045947218,359
"15-44",2012-12-31,-0.339178300377105,366
"15-44",2013-01-07,-0.146250273318394,7
"15-44",2013-01-14,0.0659132036883538,14
"15-44",2013-01-21,-0.0378793302317308,21
"15-44",2013-01-28,-0.216993525283133,28
"15-44",2013-02-04,-0.0273811302274528,35
"15-44",2013-02-11,0.0680129471593162,42
"15-44",2013-02-18,-0.126540433086127,49
"15-44",2013-02-25,0.0500197642928897,56
"15-44",2013-03-04,-0.160452591084352,63
"15-44",2013-03-11,0.0657204906934516,70
"15-44",2013-03-18,0.074699363948504,77
"15-44",2013-03-25,-0.0694812700823188,84
"15-44",2013-04-01,-0.14274016685164,91
"15-44",2013-04-08,-0.0698443411972632,98
"15-44",2013-04-15,0.0644328799840537,105
"15-44",2013-04-22,0.134947632635461,112
